id,timestamp,lat,lng,block,school,category,severity,description,photo_url,reporter_type,status
P0101,2025-10-18 07:35,36.34150,139.45120,中央ブロック,○○小,crossing,3,朝の右折車と歩行者が競合しやすいため見守りが必要,,保護者,未対応
P0102,2025-10-18 17:10,36.33980,139.44790,北東ブロック,△△小,sidewalk,2,歩道が狭く児童の列が車道側にはみ出しやすい,,地域,要現地確認
P0103,2025-10-19 18:45,36.34670,139.45550,西ブロック,□□小,dark,2,街路灯が少なく帰宅時に周囲が見えにくい,,教職員,相談中
P0104,2025-10-20 07:25,36.33540,139.44230,南ブロック,××中,speed,3,抜け道として使われ速度超過が目立つ,,地域,合同点検予定
P0105,2025-10-20 16:20,36.34320,139.45910,東ブロック,☆☆中,blind,2,カーブで死角が大きく自転車の飛び出しに注意,,保護者,要現地確認
P0106,2025-10-21 07:55,36.34950,139.44860,北西ブロック,○○小,signal,2,横断歩道の線が薄く運転者から見えにくい,,地域,補修要望提出
P0107,2025-10-21 08:05,36.33690,139.45440,南ブロック,△△小,nearmiss,3,自転車と自動車の接触未遂が複数回発生,,教職員,対応中
P0108,2025-10-22 15:40,36.35220,139.46250,西ブロック,□□小,sidewalk,1,路肩がやや狭いが通行は可能,,保護者,未対応
P0109,2025-10-22 07:45,36.33860,139.45680,中央ブロック,××中,crossing,3,信号の待ち時間が長く児童が無理に渡りやすい,https://example.com/photo-a.jpg,地域,相談中
P0110,2025-10-23 19:05,36.34230,139.44410,北東ブロック,☆☆中,dark,1,夕方以降やや暗く感じるため注意喚起が必要,,教職員,未対応
P0111,2025-10-23 07:30,36.34780,139.45270,西ブロック,○○小,signal,3,標識が見えにくく一時停止が守られにくい,,保護者,合同点検予定
P0112,2025-10-24 12:10,36.33390,139.44620,南ブロック,△△小,other,2,工事期間中で動線が変わり迷いやすい,,地域,対応中
P0113,2025-10-24 08:10,36.34510,139.46130,東ブロック,□□小,speed,2,通学時間帯に車の流れが速く感じる,,教職員,要現地確認
P0114,2025-10-25 07:40,36.34020,139.44950,中央ブロック,××中,nearmiss,2,横断直前に車が停止線を超える事例がある,https://example.com/photo-b.jpg,保護者,相談中
P0115,2025-10-25 16:50,36.35010,139.45490,北西ブロック,○○小,blind,3,植栽で見通しが悪く交差点進入時に注意が必要,,地域,未対応
P0116,2025-10-26 07:20,36.33740,139.45870,南ブロック,△△小,sidewalk,2,段差が多く低学年には歩きづらい,,保護者,補修要望提出
P0117,2025-10-26 08:00,36.34390,139.44650,中央ブロック,□□小,crossing,2,横断距離が長く見守りがあると安心,,教職員,合同点検予定
P0118,2025-10-27 18:30,36.34860,139.46020,西ブロック,☆☆中,dark,2,照明の間隔が広く歩行者の存在が分かりにくい,,地域,要現地確認
P0119,2025-10-28 07:15,36.33610,139.45180,南ブロック,○○小,signal,1,停止線の再塗装で改善見込み,,教職員,対応中
P0120,2025-10-29 07:55,36.35410,139.45760,東ブロック,××中,nearmiss,3,集団登校列の横を車が接近して通過する事例がある,https://example.com/photo-c.jpg,保護者,未対応
